Series Name,Series Code
A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ
A woman can work at night in the same way as a man (1=yes; 0=no),SG.NGT.WORK.EQ
A woman can work in a job deemed dangerous in the same way as a man (1=yes; 0=no),SG.DNG.WORK.DN.EQ
A woman can work in an industrial job in the same way as a man (1=yes; 0=no),SG.IND.WORK.EQ
Dismissal of pregnant workers is prohibited (1=yes; 0=no),SG.DML.PRGW
Law mandates equal remuneration for females and males for work of equal value (1=yes; 0=no),SG.LAW.EQRM.WK
There is paid parental leave (1=yes; 0=no),SH.PAR.LEVE.AL
Paid leave is available to fathers (1=yes; 0=no),SH.PTR.LEVE.AL
Paid leave of at least 14 weeks available to mothers (1=yes; 0=no),SH.MMR.LEVE.AL
The age at which men and women can retire with full pension benefits is the same (1=yes; 0=no),SG.AGE.FUPN.EQ
The age at which men and women can retire with partial pension benefits is the same (1=yes; 0=no),SG.AGE.PAPN.EQ
The government administers 100% of maternity leave benefits (1=yes; 0=no),SH.MMR.LEVE.GT
The law prohibits discrimination in employment based on gender (1=yes; 0=no),SG.LAW.NODC.HR
The law provides for the valuation of nonmonetary contributions (1=yes; 0=no),SG.LAW.NMCN
The mandatory retirement age for men and women is the same (1=yes; 0=no),SG.AGE.MRET.EQ
There are periods of absence due to childcare accounted for in pension benefits (1=yes; 0=no),SG.ABS.PENB
A woman can open a bank account in the same way as a man (1=yes; 0=no),SG.OPN.BANK.EQ
Male and female surviving spouses have equal rights to inherit assets (1=yes; 0=no),SG.IHT.ASST.EQ
Men and women have equal ownership rights to immovable property (1=yes; 0=no),SG.OWN.PRRT.IM
The law grants spouses equal administrative authority over assets during marriage (1=yes; 0=no),SG.LAW.ASST.AR
The law prohibits discrimination in access to credit based on gender (1=yes; 0=no),SG.LAW.CRDD.GR
A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ
A woman can be head of household in the same way as a man (1=yes; 0=no),SG.HLD.HEAD.EQ
A woman can choose where to live in the same way as a man (1=yes; 0=no),SG.LOC.LIVE.EQ
A woman can obtain a judgment of divorce in the same way as a man (1=yes; 0=no),SG.OBT.DVRC.EQ
A woman can travel outside her home in the same way as a man (1=yes; 0=no),SG.HME.TRVL.EQ
A woman can travel outside the country in the same way as a man (1=yes; 0=no),SG.CTR.TRVL.EQ
A woman has the same rights to remarry as a man (1=yes; 0=no),SG.REM.RIGT.EQ
The law is free of legal provisions that require a married woman to obey her husband (1=yes; 0=no),SG.LAW.OBHB.MR.NO
A woman can register a business in the same way as a man (1=yes; 0=no),SG.BUS.REGT.EQ
A woman can sign a contract in the same way as a man (1=yes; 0=no),SG.CNT.SIGN.EQ
Criminal penalties or civil remedies exist for sexual harassment in employment (1=yes; 0=no),SG.PEN.SXHR.EM
There is legislation on sexual harassment in employment (1=yes; 0=no),SG.LEG.SXHR.EM
There is legislation specifically addressing domestic violence (1=yes; 0=no),SG.LEG.DVAW
